,AÇÃO,ANO,LPA,P/VP,DIV_LIQ/EBITDA,DIV_LIQ/EBIT,M_LIQUIDA,ROE,ROA,CAGR_LUCRO_5A,BOA
407,TOTS3,2015,0.0,0.0,0.97,1.41,0.1024,0.158,0.0734,0.0719,0
408,TOTS3,2014,1.61,5.12,-0.32,-0.4,0.1484,0.2355,0.1227,0.1693,0
409,TOTS3,2013,1.37,5.62,-0.34,-0.43,0.1381,0.2084,0.1204,0.0,0
410,TRPL3,ATUAL,4.29,1.27,1.79,1.56,0.4745,0.1813,0.0907,-0.1052,1
411,TRPL3,2021,4.58,1.4,1.6,1.42,0.5455,0.2096,0.1042,-0.0935,1
412,TRPL3,2020,5.1,1.41,0.51,0.46,0.9094,0.2444,0.1367,0.4613,1
413,TRPL3,2019,2.68,1.54,0.29,0.27,0.5333,0.1494,0.0816,0.3605,1
414,TRPL3,2018,11.42,1.03,0.0,0.94,0.5909,0.17,0.1015,1.2599,1
415,TRPL3,2017,8.29,0.88,0.64,0.65,0.5055,0.1243,0.0792,0.1011,1
416,TRPL3,2016,30.59,0.94,0.0,0.09,0.6335,0.4875,0.3274,0.4006,1
417,TRPL3,2015,3.13,1.3,1.02,1.02,0.3919,0.0915,0.0687,-0.0909,1
418,TRPL3,2014,2.48,0.0,1.55,1.58,0.343,0.0732,0.053,0.0314,1
419,TRPL3,2013,0.21,0.0,-3.16,-3.05,0.0325,0.0065,0.0046,0.0,1
420,TUPY3,ATUAL,3.09,1.36,1.47,2.2,0.0507,0.1523,0.0564,0.0,0
421,TUPY3,2021,1.42,1.05,1.67,3.08,0.0288,0.0742,0.0272,0.0,0
422,TUPY3,2020,-0.53,1.18,1.41,3.69,-0.0179,-0.0298,-0.0125,0.0,0
423,TUPY3,2019,1.93,1.53,0.94,1.81,0.054,0.1168,0.0544,0.2561,0
424,TUPY3,2018,1.88,1.32,1.07,1.87,0.0563,0.1235,0.0554,0.2578,0
425,TUPY3,2017,1.06,1.33,1.69,3.97,0.0414,0.0773,0.0333,0.1825,0
426,TUPY3,2016,-1.26,0.86,6.21,-3.72,-0.0557,-0.0904,-0.038,0.0,0
427,TUPY3,2015,1.53,1.12,1.63,3.02,0.0642,0.0914,0.0383,0.0735,0
428,TUPY3,2014,0.62,1.27,1.58,3.88,0.0286,0.0439,0.018,-0.1066,0
429,TUPY3,2013,1.51,0.63,1.46,2.61,0.0276,0.0454,0.0192,-0.1253,0
430,VALE3,ATUAL,21.69,1.85,0.23,0.26,0.4178,0.5574,0.2346,0.5075,0
431,VALE3,2021,23.62,2.08,0.07,0.07,0.413,0.6301,0.2429,0.5555,0
432,VALE3,2020,5.05,2.49,0.11,0.15,0.1281,0.1438,0.0559,0.0,0
433,VALE3,2019,-1.26,1.74,1.54,13.49,-0.0449,-0.0413,-0.018,0.0,0
434,VALE3,2018,4.86,1.58,0.0,0.87,0.1908,0.1506,0.0751,1.9487,0
435,VALE3,2017,3.36,1.47,0.0,1.74,0.1624,0.1226,0.0537,0.1225,0
436,VALE3,2016,2.54,1.06,0.0,3.94,0.1407,0.1046,0.0413,-0.1885,0
437,VALE3,2015,-8.43,0.52,0.0,-3.45,-0.5664,-0.3371,-0.1279,0.0,0
438,VALE3,2014,0.18,0.8,0.0,3.17,0.0116,0.0065,0.0031,-0.379,0
439,VALE3,2013,0.02,1.29,0.0,1.69,0.0011,0.0008,0.0004,-0.6479,0
440,WEGE3,ATUAL,0.84,10.45,-0.05,-0.05,0.1325,0.2642,0.1369,0.2596,1
441,WEGE3,2021,0.85,10.17,-0.31,-0.34,0.1522,0.2636,0.1498,0.2626,1
442,WEGE3,2020,1.12,13.75,-0.86,-0.99,0.134,0.2024,0.1175,0.1515,1
443,WEGE3,2019,0.77,8.34,-0.49,-0.6,0.121,0.1852,0.1029,0.1108,1
444,WEGE3,2018,0.64,4.77,0.0,0.16,0.1118,0.1735,0.0869,0.0967,1
445,WEGE3,2017,0.71,5.8,0.0,-0.44,0.1199,0.1699,0.0817,0.1173,1
446,WEGE3,2016,0.69,4.2,0.0,-0.34,0.1193,0.1874,0.0827,0.1375,1
447,WEGE3,2015,0.72,4.0,0.0,0.62,0.1184,0.1917,0.0811,0.1734,1
448,WEGE3,2014,1.18,4.88,0.0,-0.09,0.1218,0.1888,0.081,0.1164,1
449,WEGE3,2013,1.36,4.24,0.0,-0.16,0.1235,0.1851,0.0832,0.0852,1
